1237.83 774.98 1.59
680.51 715.93 0.95
1172.68 1219.17 0.96
1038.89 985.25 1.05
1753.87 1679.53 1.04
1255.12 1308.67 0.95
682.68 410.28 1.66
949.21 556.37 1.70
487.82 511.00 0.95
1037.93 994.90 1.04
395.18 424.08 0.93
713.18 720.71 0.98
715.44 664.84 1.07
551.62 482.37 1.14
733.79 809.21 0.90
418.76 469.86 0.89
568.14 579.52 0.98
597.69 636.29 0.93
984.07 583.99 1.68
920.10 960.87 0.95
546.59 327.50 1.66
1339.68 1507.68 0.88
645.99 358.52 1.80
546.10 337.34 1.61
299.24 269.72 1.10
990.88 566.52 1.74
1221.80 689.22 1.77
1864.10 1065.95 1.74
971.11 946.34 1.02
736.66 752.18 0.97
1072.90 1121.20 0.95
361.74 343.04 1.05
474.58 516.37 0.91
768.06 786.53 0.97
831.48 954.44 0.87
1230.91 706.95 1.74
670.28 359.69 1.86
1853.41 1135.48 1.63
1023.96 628.04 1.63
829.49 501.46 1.65
567.32 568.59 0.99
998.38 973.74 1.02
1387.78 1534.03 0.90
667.77 369.67 1.80
1954.19 1976.39 0.98
728.94 716.91 1.01
1230.65 749.11 1.64
943.06 1007.86 0.93
1268.44 1284.10 0.98
722.01 381.57 1.89
894.39 882.07 1.01
1083.82 1111.46 0.97
1103.73 1061.41 1.03
436.15 264.39 1.64
658.63 354.88 1.85
777.39 748.95 1.03
892.28 871.34 1.02
577.72 539.62 1.07
826.51 446.20 1.85
655.44 414.28 1.58
1326.18 1290.65 1.02
774.79 779.70 0.99
410.50 232.05 1.76
289.81 334.93 0.86
405.13 238.08 1.70
1161.60 1120.03 1.03
332.97 373.15 0.89
1783.80 1738.63 1.02
1036.63 637.50 1.62
410.36 446.38 0.91
913.52 893.54 1.02
273.63 259.51 1.05
335.74 229.52 1.46
139.02 132.42 1.04
808.10 493.02 1.63
783.72 907.57 0.86
733.43 404.07 1.81
364.64 377.32 0.96
418.05 243.01 1.72
1135.57 634.68 1.78
1198.82 656.23 1.82
1088.94 605.06 1.79
628.46 623.25 1.00
497.40 297.03 1.67
554.71 522.09 1.06
802.25 832.56 0.96
425.24 245.04 1.73
594.60 605.16 0.98
821.63 822.47 0.99
973.38 1005.76 0.96
258.73 177.84 1.45
1166.27 668.44 1.74
586.77 666.49 0.88
920.42 595.54 1.54
708.41 416.99 1.69
594.10 609.93 0.97
1307.91 1157.20 1.13
351.01 211.32 1.66
551.41 315.57 1.74
330.43 201.81 1.63
545.29 616.11 0.88
272.51 271.33 1.00
330.98 232.99 1.42
947.75 562.15 1.68
1589.35 1608.72 0.98
1047.84 540.27 1.93
791.44 460.93 1.71
542.26 311.75 1.73
491.41 273.58 1.79
633.66 660.80 0.95
558.79 304.34 1.83
430.98 277.79 1.55
292.66 316.02 0.92
527.66 562.25 0.93
448.53 278.11 1.61
368.15 392.41 0.93
555.99 322.75 1.72
993.14 951.15 1.04
814.93 882.93 0.92
1942.23 1074.21 1.80
534.28 323.92 1.64
908.47 555.91 1.63
829.52 517.23 1.60
1207.50 1181.24 1.02
127.19 67.60 1.88
362.18 384.39 0.94
382.85 391.07 0.97
877.00 460.21 1.90
4865.63 2668.46 1.82
287.30 182.03 1.57
1185.53 636.57 1.86
679.81 425.45 1.59
1717.36 1622.89 1.05
1072.37 587.71 1.82
1389.29 1524.11 0.91
411.52 249.67 1.64
577.54 359.71 1.60
654.65 634.85 1.03
1261.77 730.12 1.72
1027.94 1069.15 0.96
816.78 493.07 1.65
1032.79 1004.76 1.02
1244.10 666.97 1.86
