accession	long	lat	4k	6k	ratio
9532	-4.64	42.23	441.29	439.87	1.003228227
9533	-4.32	41.15	365.29	208.94	1.748300948
9534	-4.65	40.05	502.3	288.54	1.74083316
9535	3.19	42.31	390.51	373.39	1.045850183
9536	-2	40.83	351.43	219.55	1.600683216
9537	-6.66	38.07	353.74	353	1.002096317
9539	-6.67	40.29	345.96	202.3	1.710133465
9540	2.34	41.81	329.89	316.39	1.042668858
9541	-5.42	38.26	281.48	278.72	1.009902411
9542	-4.05	40.79	353.1	350.86	1.006384313
9543	-5.39	36.77	395.44	240	1.647666667
9544	-5.33	39.4	293.34	189.37	1.549030998
9545	-5.78	39.4	335.9	202.37	1.659831003
9546	-1.68	40.82	342.81	323.01	1.061298412
9547	2.62	41.67	378.19	368.73	1.025655629
9548	-5	40.4	511.17	517.69	0.98740559
9549	-3.69	42.23	453.9	248.65	1.82545747
9550	-5.37	43.05	455.11	460.42	0.988467052
9551	-5.92	42.28	375.46	371.72	1.010061336
9552	-4.5	40.87	290.53	290.6	0.999759119
9553	-4.71	41.58	285.54	278.14	1.026605307
9554	-3.16	38.86	492.82	284.85	1.730103563
9555	-3.93	39.58	346.46	344.04	1.007034066
9556	-4.34	39.66	367.23	366.98	1.000681236
9557	0.7	42.46	354.78	348.18	1.018955713
9558	-5.64	41.57	409.31	234.53	1.745235151
9559	-4.38	38.06	510.97	484.98	1.053589839
9560	-6.24	38.19	360	228.5	1.575492341
9561	-5.04	40.71	260.16	160.04	1.625593602
9562	2	41.67	349.5	333.2	1.048919568
9564	-1.6	40.45	348.49	335.04	1.04014446
9565	-1.23	42.97	342.58	192.39	1.78065388
9567	1.3	42.34	395.07	398.13	0.992314068
9568	-0.23	42.76	305.23	293.83	1.038797944
9569	-6.45	42.87	439.74	426.14	1.031914394
9571	-6.01	43.28	392.06	227.11	1.726300031
9573	2.99	41.86	400.76	398.63	1.005343301
9574	-2.7	38.6	432.01	434.31	0.994704244
9576	-4.11	40.86	464.8	256.7	1.810673938
9577	2.17	42.34	438.79	415.7	1.055544864
9578	-6.7	42.13	398.74	223.21	1.786389499
9579	-3.51	38.33	299.11	173.15	1.727461738
9581	-5.12	42.84	435.91	414.21	1.052388885
9582	-1.63	41.48	417.55	288.15	1.449071664
9583	-3.38	37.09	473.9	473.34	1.001183082
9584	-3.58	41.19	320.54	305.85	1.04803008
9585	-7.39	43.4	435	442.26	0.983584317
9586	-3.27	41.03	337.4	340.08	0.992119501
9587	-1.88	41.5	317.68	313.74	1.012558169
9588	0.6	42.11	432.67	427.81	1.011360183
9589	-2.83	41.6	282.9	266.95	1.059749017
9590	-5.49	43.37	346.73	350.58	0.989018198
9591	-3.59	42.86	352.34	352.5	0.999546099
9592	-5.44	42.1	553.05	528.19	1.047066397
9593	-2.99	42.26	561.89	561.81	1.000142397
9594	1.01	42.04	382.54	393.85	0.971283484
9595	-5.5	40.89	396.37	233.48	1.69766147
9596	-7.45	41.95	217.33	137.39	1.581847296
9597	-2.53	42.31	472.82	457.28	1.033983555
9598	-6.51	41.88	396.92	236.56	1.67788299
9599	-5.77	42.8	328.96	197.67	1.664187788
9600	-6.04	39.85	481.82	290.31	1.659674141
9601	-1.88	41.85	413.47	467.75	0.883955104
9602	-3.96	40.5	420.39	243.5	1.726447639
9606	-7.45	31.48	223.9	219.63	1.019441788
9607	52.15	53.05	171.75	109.94	1.562215754
9608	59.44	51.37	212.78	117.6	1.809353741
9609	59.98	51.41	207.94	119.36	1.742124665
9610	51.96	53.04	235.96	134	1.760895522
9611	51.9	53.04	320.8	172.04	1.864682632
9612	51.94	53.04	292.82	157.14	1.863433881
9613	61.41	55.36	143.59	82.35	1.743655131
9615	52.16	52.99	288.8	162.6	1.776137761
9616	51.96	53.06	219.83	114.65	1.917400785
9617	59.44	51.37	203.46	111.26	1.828689556
9619	79.48	51.84	217.78	114.34	1.904670282
9620	79.48	51.82	188.52	106.94	1.762857677
9621	79.46	51.84	284.24	156.78	1.81298635
9622	85.27	52.52	114.41	62.42	1.83290612
9624	79.37	53.6	221.32	119.53	1.851585376
9625	82.59	51.31	216.67	126.39	1.714297017
9626	82.59	51.36	330.72	190.9	1.732425354
9627	82.55	51.32	131.53	71.61	1.836754643
9628	82.54	51.33	203.9	119.29	1.709279906
9629	82.18	51.35	190.2	97.74	1.945979128
9630	82.16	51.34	229.43	139.69	1.642422507
9631	80.79	51.65	291.89	166.53	1.752777277
9632	80.82	51.67	202.85	109.3	1.855901189
9633	80.83	51.63	221.31	114.5	1.932838428
9634	81.31	54.13	252.58	142.89	1.76765344
9635	80.6	51.87	242.41	133.47	1.816213381
9636	80.82	51.75	404.08	239.45	1.687533932
9637	80.85	51.77	202.18	116.16	1.740530303
9638	80.86	51.73	189.29	105.82	1.788792289
9639	80.31	53.82	244.34	137.07	1.782592836
9640	80.06	51.87	183.4	103.37	1.774209152
9641	80.06	51.9	316.15	178.01	1.776023819
9642	80.06	51.84	192.43	111.54	1.725210687
9643	79.31	52.1	241.88	124.4	1.94437299
9644	18.72	45.07	238.72	137.16	1.740449111
9645	18.7	45.17	208.33	107.06	1.945918177
9646	16.170188	39.126899	238.12	230.94	1.031090326
9647	16.77	40.37	231.75	210.23	1.102364077
9648	16.28	39.48	132.73	129.74	1.023046092
9649	16.17	39.13	186.98	178.63	1.046744668
9651	14.87	40.68	232.07	216.2	1.073404255
9653	16.13	38.44	174.56	173.28	1.007386888
9655	16.47	38.92	136.52	126.97	1.075214618
9656	17.31	40.64	321.59	185.86	1.730280857
9657	16.04	38.45	153.42	148.8	1.031048387
9658	16.34	38.97	183.51	177.47	1.034033921
9659	14.18	41.18	219.86	205.55	1.069618098
9660	14.57	40.84	210.96	196.94	1.071189195
9661	16.21	39.58	228.01	230.53	0.989068668
9663	14.09	41.33	195.62	191.74	1.020235736
9664	11.2832	46.366	184.67	104.67	1.764306869
9665	11.2832	46.366	136.65	78.99	1.729965818
9666	11.2832	46.366	238.74	133.81	1.784171587
9667	11.2832	46.366	226.15	125.59	1.800700693
9668	11.2837	46.3668	204.67	111.82	1.830352352
9669	11.2837	46.3668	185.84	185.59	1.001347055
9670	11.2837	46.3668	227.2	123.12	1.845354126
9671	11.2837	46.3668	170.3	96.38	1.7669641
9672	11.2837	46.3668	173.55	101.79	1.704980843
9673	11.2837	46.3668	460.96	262.89	1.753432995
9676	11.2866	46.3718	183.85	101.96	1.803158101
9677	11.2866	46.3718	164.86	89.8	1.835857461
9678	11.2866	46.3718	167.56	91.38	1.833661633
9679	11.2928	46.3378	152.76	83.67	1.825743994
9680	11.2928	46.3378	134.35	76.88	1.747528616
9681	11.2928	46.3378	192.53	108.61	1.772672866
9682	11.2928	46.3378	124.36	68.95	1.803625816
9683	11.2928	46.3378	179.56	95.39	1.882377608
9684	11.2928	46.3378	199.84	111.82	1.787157932
9685	11.2928	46.3378	200	112.48	1.778093883
9686	11.2928	46.3378	173.15	95.53	1.812519627
9687	11.2928	46.3378	156.77	89.82	1.745379648
9689	11.2928	46.3378	267	150.62	1.772672952
9690	11.2928	46.3378	302.72	169.02	1.791030647
9691	11.2928	46.3378	159.74	94.9	1.683245522
9692	11.2928	46.3378	234.15	133.34	1.756037198
9693	11.2928	46.3378	178.57	99.93	1.786950866
9694	11.2928	46.3378	260.14	150.45	1.729079428
9695	11.2928	46.3378	208.24	117.88	1.766542246
9696	11.2928	46.3378	231.9	129.75	1.787283237
9697	23.94	41.62	507.36	282.81	1.793995969
9698	23.85	41.57	289.62	158.66	1.825412832
9699	23.14	41.37	162.15	93.35	1.737011248
9700	23.1	42.32	318.22	183.06	1.738337157
9701	25.91	43.7	220.3	126.9	1.736012608
9703	23.39	41.53	402.9	227.87	1.768113398
9704	23.39	41.53	132.77	76.44	1.736917844
9705	23.33	41.5	459.69	256.14	1.794682595
9706	24.18	41.64	180	103.48	1.739466564
9707	24.84	41.57	398.29	383.79	1.037781078
9708	25.35	41.62	406.96	388.93	1.046357956
9709	23.13	41.85	338.18	194.12	1.742118277
9710	23.13	41.85	185.43	104.74	1.770383808
9711	23.1	42.32	284.29	177.62	1.60055174
9712	23.1	42.32	183.29	103.24	1.775377761
9713	25.61	42.49	173.99	95.71	1.817887368
9714	25.75	41.84	264.96	141.52	1.872244206
9716	24.98	41.54	220.77	219.65	1.005099021
9717	25.47	41.66	403.64	390.4	1.033913934
9718	24.75	41.55	223.58	216.65	1.031987076
9719	25.69	41.83	213.83	212.73	1.005170874
9720	25.68	41.77	393.42	222	1.772162162
9721	25.33	42.72	180.38	102.34	1.762556185
9722	24.41	41.71	237.44	132.63	1.790243535
9723	23.67	41.42	156.98	86.75	1.809567723
9725	23.08	37.6	166.12	153.88	1.079542501
9726	22.04	37.07	151.48	147.44	1.027400977
9727	21.62	37.63	146.94	82.91	1.772283199
9728	18.9	48.46	198.34	110.31	1.798023751
9729	18.9	48.46	224.75	126.64	1.77471573
9730	18.94	48.47	168.69	98.02	1.720975311
9731	18.9	48.46	189.84	104.37	1.818913481
9732	18.96	48.47	214.06	127.23	1.682464827
9733	18.94	48.47	174.81	98.52	1.774360536
9735	18.94	48.47	197.05	115.13	1.711543473
9736	25.17	44.69	235.38	133.22	1.766851824
9737	22.62	45.95	136.16	79.82	1.705838136
9738	25.42	45.57	274.04	157.78	1.736848777
9739	22.33	46.01	287.89	256.54	1.122203165
9741	23.16	45.84	239.45	223.01	1.073718667
9743	25	45.14	219.24	124.14	1.766070565
9744	27.59	47.16	168.7	94.63	1.782732749
9745	70.05	41.45	240.06	223.84	1.072462473
9747	21.22	44.38	248.72	239.1	1.040234212
9748	21.71	44.23	183.14	168.15	1.089146595
9749	22.29	43.54	213.95	208.65	1.02540139
9754	21.37	44.66	407.46	236.79	1.720765235
9755	22.56	44.56	440.97	247.29	1.783209996
9756	21.08	44.3	188.46	104.46	1.804135554
9757	21.08	44.3	205.57	218.11	0.942506075
9758	88.4	47.75	220.23	124.91	1.763109439
9759	49.47	37.47	164.35	164.88	0.996785541
9761	35.7	33.92	548.12	313.32	1.749393591
9762	14.98	37.69	183.74	188.2	0.976301807
9764	35.84	34.1	3079.17	3145.85	0.978803821
9766	74.16	42.26	173.45	99.3	1.74672709
9768	9.16	48.57	524.65	295.17	1.777450283
9769	8.99	48.55	575.27	544.85	1.05583188
9770	9.01	48.53	438.61	428.57	1.023426745
9771	9.11	48.56	471.15	458.18	1.028307652
9772	8.85	48.41	496.32	288.44	1.720704479
9774	9.22	48.59	414.33	386.62	1.071672443
9775	8.79	48.41	655.81	368.89	1.777792838
9776	8.79	48.43	614.44	337.9	1.818407813
9777	9.17	48.57	514.03	286.54	1.79392057
9778	8.84	48.41	490.92	269.61	1.820852342
9779	8.78	48.5	437.57	244.61	1.788847553
9780	8.79	48.43	472.24	246.91	1.912599733
9781	9.11	48.52	346.17	338.85	1.021602479
9782	9.09	48.53	490.65	268.59	1.826761979
9783	9.05	48.52	417.04	356.95	1.168342905
9784	8.8	48.5	561.72	309.7	1.813755247
9785	9.02	48.54	475.83	527.34	0.902321083
9786	9.01	48.54	466.63	269.97	1.728451309
9787	9	48.5	408.31	411.8	0.991525012
9788	9.01	48.53	406.11	242.63	1.673783127
9789	8.96	48.39	912.14	518.67	1.758613377
9790	9.18	48.58	404.22	227.75	1.774840834
9791	9.2	48.6	388.82	371.64	1.046227532
9792	9.09	48.54	466.71	446.25	1.045848739
9793	9.16	48.57	269.87	263.05	1.02592663
9794	9.08	48.52	495.12	502.14	0.986019835
9795	9.11	48.5	442.14	224.66	1.968040595
9796	8.84	48.41	826.92	471.63	1.75332358
9797	9.02	48.54	398.59	390.63	1.020377339
9798	9.01	48.54	476.26	452.67	1.052113018
9799	8.85	48.39	578.89	314.31	1.841780408
9800	9.01	48.54	490.22	279.17	1.755990973
9801	9.01	48.54	301.61	173.2	1.741397229
9802	9.11	48.51	503.57	271.42	1.855316484
9803	8.76	48.42	257	143.25	1.794066318
9804	8.87	48.45	329.24	184.19	1.787502036
9805	9.09	48.54	250.18	245.97	1.017115908
9806	9.16	48.56	416.72	234.83	1.77456032
9807	9.22	48.6	447.88	247.15	1.812178839
9808	9.08	48.52	503.71	287.05	1.754781397
9809	9.05	48.52	477.53	446.4	1.069735663
9810	9.07	48.53	170.01	160.38	1.060044893
9811	9.05	48.52	162.74	95.1	1.711251314
9812	9.03	48.52	310.01	296.15	1.046800608
9813	8.77	48.4	189.72	192.05	0.987867743
9814	8.79	48.42	263.78	259.21	1.017630493
9815	9.02	48.54	279.02	272.67	1.023288224
9816	9.06	48.55	191.69	179.81	1.06606974
9817	-6.6	39.84	156.62	93.48	1.675438596
9819	-3.03	42.35	174.42	168.62	1.034396869
9820	-4.71	41	163.74	98.6	1.660649087
9821	2.49	41.81	252.26	234.42	1.076102722
9822	-4.02	40.52	210.34	122.37	1.718885348
9823	-5.84	43.34	173.76	165.33	1.050988931
9824	-4.91	42.91	167.04	112.75	1.481507761
9825	-3.88	40.4	206.32	199.38	1.034807905
9826	-6.71	42.49	188.91	101.26	1.865593522
9827	0.69	42.78	187.4	108.23	1.731497736
9828	-6.15	42.5	193.64	192	1.008541667
9830	-3.28	36.97	209.21	114.91	1.820642242
9831	-3.39	38.54	222.4	124.61	1.784768478
9832	-3.69	40.54	256.77	146.88	1.748161765
9833	-4.21	40.38	147.43	82.95	1.777335744
9834	-3.9	40.51	165.98	93.04	1.783963887
9835	-6.57	40.61	205.97	196.72	1.047021147
9836	-1.32	41.25	159.2	153.18	1.03930017
9837	-5.6	37.94	209.36	134.34	1.558433825
9838	-5.38	41.83	131.37	66.58	1.97311505
9839	-4.27	40.44	155.12	88.43	1.754155829
9840	-1.43	41.13	175.32	100.25	1.74882793
9841	-4.15	40.59	272.49	156.79	1.737929715
9843	-3.92	40.53	208.06	202.76	1.026139278
9844	0.19	42.27	171.03	159.2	1.074309045
9845	-3.96	40.48	196.2	115.8	1.694300518
9846	-3.02	42.31	229.24	222.21	1.03163674
9847	-5.7	43.31	229.17	136.1	1.683835415
9848	-5.77	40.11	259.29	243.64	1.064234116
9849	-4.11	40.65	276.85	266.52	1.038758817
9850	-0.7	42.86	214.3	116.08	1.846140593
9851	-6.1	42.96	242.99	121.46	2.000576321
9852	-3.75	40.46	154.26	88.3	1.746998867
9853	-5.91	43.33	273.86	264.2	1.03656321
9854	-5.88	43.36	268.94	263.54	1.020490248
9855	-3.89	40.57	343.94	337.91	1.017844988
9856	-4	40.51	67.63	63.16	1.070772641
9857	-3.8	40.33	92.06	52.01	1.770044222
9858	-3.8	40.98	75.79	71.77	1.056012261
9859	-3.88	40.5	109.51	57.33	1.910169196
9860	-2.62	42.24	91.68	84.25	1.088189911
9861	-3.21	40.72	91.52	91.13	1.004279601
9862	-3.67	40.45	73.29	65.16	1.124769797
9864	2.69	41.76	124.29	115.96	1.071835116
9866	-2.79	41.89	151.05	138.36	1.091717259
9867	-3.22	40.94	141.39	139.73	1.011880054
9868	2.37	41.78	213.06	206.69	1.030819101
9869	-5.28	36.76	172	116.38	1.477917168
9870	0.17	41.91	266.07	246.12	1.08105802
9871	-3.99	40.75	261.66	249.81	1.047436051
9873	-5.45	37.94	209.03	205.64	1.01648512
9874	-3	42.34	182.85	196.53	0.930392307
9875	-5.87	43.38	176.17	171.08	1.029752163
9876	0.99	41.34	224.51	215.22	1.043165133
9877	-5.6	43.02	162.67	89.95	1.808449138
9878	-3.62	40.78	222.87	214.74	1.037859737
9879	-1.12	37.6	407.17	387.86	1.049786005
9880	-3.44	42.72	202.98	194.86	1.041670943
9881	-5.32	40.46	192.58	197.17	0.976720596
9882	-4.26	40.46	125.27	70.83	1.768600875
9883	-2.56	42.1	115.44	105.47	1.09452925
9885	-3.68	41.14	180.05	171.37	1.050650639
9886	1.73	42.38	206.08	192.19	1.072272231
9887	-4.77	40.4	260.8	164.36	1.586760769
9888	-3.31	40.93	208.18	119.43	1.743113121
9890	-5.07	43.16	173.3	102.96	1.683177933
9891	2.92	41.93	800.57	759.57	1.053977909
9892	-6.96	42.68	165.6	102.8	1.610894942
9894	0.76	42.59	195.33	101.7	1.920648968
9895	2.57	41.78	289.93	273.82	1.058834271
9897	-5.63	40.95	179.36	101.3	1.770582428
9898	-3.58	41.14	220.28	200.96	1.096138535
9899	0.84	42.54	214.22	207.72	1.031292124
9900	-6.01	37.38	221.7	220.76	1.004258018
9901	-2.98	42.27	321.57	304.07	1.057552537
9902	-3.24	40.71	280.42	263.45	1.0644145
9903	-3.1	42.31	182.09	173.37	1.050297053
9904	-3.31	40.95	236.74	231.38	1.023165356
9905	-4.01	40.76	186.36	107.22	1.738108562
9906	4.25	40	282.4	271.51	1.04010902
9908	3.47	50.72	251.21	236.47	1.062333488
9909	3.3	50.59	184.94	170.88	1.082279963
991	14.0526813	55.3822641	839.87	908.46	0.924498602
9910	3.52	50.68	226.09	125.2	1.805830671
9911	4.28	47.16	576.93	534.84	1.078696433
9912	4.55	46.67	137.28	132.59	1.0353722
9914	5.33	47.58	248.6	138.62	1.793392007
9915	3.94	47.45	352.16	199.36	1.766452648
9917	4.34	46.69	396.1	379.61	1.043439319
9918	5.21	47.43	227.64	238.77	0.953386104
9920	4.32	48.54	290.17	180.2	1.610266371
9921	4.41	48.57	292.98	172.87	1.69479956
9924	4.24	48.59	326.88	323.96	1.009013458
9925	4.52	48.91	216.29	202.81	1.066466151
9926	4.1	48.86	104.67	101.76	1.028596698
9927	3.69	44.05	158.36	93.71	1.689894355
9928	3.77	44.12	212.81	200.03	1.063890416
9929	3.71	43.92	373.22	208.35	1.791312695
9930	4.14	43.91	220.98	126.47	1.747291848
9932	4.33	44.12	212.69	201.8	1.053964321
9933	3.89	43.74	476.92	339.4	1.405185622
9935	2.93	50.6	201.87	196.69	1.026335858
9937	2.69	50.79	529.14	488.23	1.083792475
9938	2.99	50.65	263.77	253.38	1.041005604
