accession	long	lat	4k	6k	ratio
544	-73.2089	40.9076	1429.28	1450.27	0.985526833
546	-73.2089	40.9076	861.2	874.44	0.984858881
5486	-3.3	54.6	225.31	121.45	1.855166735
5577	-3.4	54.7	351	322.11	1.089689858
5644	-2.9	54.4	322.8	285.81	1.129421644
5651	-2.9	54.4	712.81	701.27	1.016455859
5717	-3.2	54.6	788.2	799.67	0.985656583
5718	-3.4	57	930.37	927.86	1.002705149
5720	-1.6	53.3	181.8	91.95	1.977161501
5726	1.1	51.3	229.48	218.81	1.048763768
5741	-4.1	56.6	233.37	124.92	1.86815562
5748	-4.4	56	178.41	90.6	1.969205298
5757	-2.3	54.6	260.38	136.29	1.910484995
5768	-1.5	54.1	269.29	156.67	1.718835769
5772	-2.3	54.1	338.02	324.11	1.042917528
5776	-1.3	52.9	927.01	910.28	1.01837896
5779	-3.1	51	223.5	212.78	1.050380675
5784	-5.2	56.4	206.03	106.61	1.932557921
5798	-3.3	53.1	504.8	506.35	0.996938876
5800	-5.5	57.4	315.77	302.23	1.044800318
5811	-3.1	52.9	268.78	251.71	1.067816138
5822	-5.98333	56.7333	257.23	132.21	1.945616822
5836	13.51	55.86	1169.81	680.49	1.719070082
5837	16.2326	49.4013	324.79	185.83	1.747780229
5860	18.0165	62.6814	1216.22	1236.78	0.983376187
5865	14.1231006	55.7565106	4008.4	2414.16	1.660370481
5874	16.2815	49.4112	236.19	227.5	1.038197802
5890	16.2815	49.4112	202.53	117.14	1.728956804
5893	16.2815	49.4112	401.04	235.03	1.706335361
5907	16.2815	49.4112	249.74	142.8	1.748879552
5921	16.2815	49.4112	243.4	133.73	1.820085246
5950	16.2815	49.4112	390.56	219.96	1.775595563
5984	16.2815	49.4112	223.68	129.61	1.725792763
5993	16.2815	49.4112	134.08	130.33	1.028773114
6008	16.2	49.1	334.34	204.33	1.636274654
6010	18.177	62.877	1474.58	816.16	1.806729073
6011	18.1749827	62.8759855	5245.91	3184.35	1.647403709
6022	14.29	56.06	6198.45	3536.24	1.752836346
6042	13.8561835	56.0964877	688.11	409.2	1.68159824
6077	13.4504	55.6942	405.14	206.51	1.961842042
6087	16.1284	56.4666	1972.41	1810.03	1.08971122
6091	13.215	55.6525	3615.12	2153.09	1.679038034
6094	13.2264	55.6481	898.35	585.28	1.53490637
6095	13.2161	55.6486	3585.06	2132.22	1.681374342
6096	13.2225	55.6472	1240.26	799.25	1.551779794
6101	13.2	55.6	2730.78	1691.43	1.614480055
6105	13.1211	55.7967	366.8	382.06	0.96005863
6109	13.1104309	55.7928025	519.47	331.14	1.568732258
6115	13.1745511	55.7138306	684.4	439.53	1.55711783
6118	13.2954193	55.8350143	895.09	475.03	1.884280993
6119	13.2	55.7	894.09	906.78	0.986005426
6122	13.2995709	55.8362185	593.4	356.17	1.666058343
6123	13.3033	55.8369	961.73	555.07	1.732628317
6124	13.3002261	55.8379372	1809.11	1045.08	1.731073219
6134	13.5519	55.9336	780.19	444.19	1.756433058
6141	13.5542	55.9414	1312.18	835.31	1.570889849
6149	13.2244	55.6528	568.2	333.62	1.703135304
6153	17.7422	62.6425	266.21	261.59	1.017661226
6191	14.1328223	55.758856	539.75	283.69	1.902604956
6192	14.1328223	55.758856	636.13	385.17	1.651556456
6203	18.1749827	62.8759855	619.09	400.32	1.54648781
6214	18.3281	63.0175	920.91	545.53	1.688101479
6221	18.2763	62.9513	886.36	524.96	1.688433404
6235	18.339997	62.956806	1111.36	649.65	1.710705765
6237	18.339997	62.956806	330.44	181.2	1.823620309
6252	14.3336	55.5796	1490.51	1408.55	1.058187498
628	-72.9069	40.7777	1210.15	687.82	1.759399261
6296	16.6314	49.2771	211.77	202.99	1.043253362
630	-72.9069	40.7777	278.24	150.88	1.844114528
6390	16.6314	49.2771	171.84	93.83	1.831397208
6396	16.6314	49.2771	252.01	138.4	1.820881503
6413	18.1749827	62.8759855	423.59	509.72	0.831024876
6424	16.2544	49.3853	255.98	144.24	1.774681087
6434	16.2544	49.3853	216.28	124.69	1.734541663
6445	16.2544	49.3853	190.16	108.34	1.755215064
6680	6.4333	51.85	562.4	554.49	1.014265361
6739	-73.4675	40.8585	705.24	691.61	1.019707639
